		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    2    4    3    1    0    4    4  6.797343 0.558648 SUCCESS   0
000000011    3    1    4    2    4    1    1    4  5.950009 0.652832 SUCCESS   1
000000101    3    6    3    2    1    2    4    3  7.896229 0.443672 SUCCESS   2
000000111    3    1    3    3    5    2    1    3  5.165563 0.739743 SUCCESS   3
000001001    2    2    1    3    2    2    1    1  3.030678 0.932418 SUCCESS   4
000001011    2    2    3    1    2    3    2    2  1.524674 0.992290 SUCCESS   5
000001101    4    0    3    2    2    1    1    2  5.635568 0.687978 SUCCESS   6
000001111    2    3    2    4    7    4    3    4 12.447341 0.132333 SUCCESS   7
000010001    0    4    3    2    0    3    5    3  9.339345 0.314483 SUCCESS   8
000010011    1    2    2    1    1    2    3    1  3.815124 0.873406 SUCCESS   9
000010101    4    4    1    3    3    4    2    3  4.506893 0.808743 SUCCESS  10
000010111    5    1    0    2    2    2    2    4  7.518901 0.481816 SUCCESS  11
000011001    1    3    3    4    2    2    2    3  2.560672 0.958842 SUCCESS  12
000011011    3    2    4    0    1    1    2    3  5.698457 0.680967 SUCCESS  13
000011101    3    4    3    3    6    2    4    0 10.501120 0.231599 SUCCESS  14
000011111    5    3    2    2    5    2    1    3  6.986007 0.538143 SUCCESS  15
000100011    1    2    2    2    1    3    5    2  4.976899 0.760042 SUCCESS  16
000100101    1    1    2    3    1    4    1    0  7.204461 0.514742 SUCCESS  17
000100111    0    2    3    1    1    3    3    5  7.518901 0.481816 SUCCESS  18
000101001    4    6    2    3    3    1    3    4  8.869340 0.353438 SUCCESS  19
000101011    2    3    0    1    2    1    3    1  5.509792 0.701955 SUCCESS  20
000101101    0    1    3    1    1    4    2    1  7.204461 0.514742 SUCCESS  21
000101111    4    2    1    3    2    1    1    2  4.003788 0.856782 SUCCESS  22
000110011    4    1    5    4    3    3    1    0  9.402234 0.309508 SUCCESS  23
000110101    3    1    0    1    3    3    2    4  5.761345 0.673945 SUCCESS  24
000110111    1    4    3    2    3    3    1    6  8.680676 0.369946 SUCCESS  25
000111001    2    3    3    2    0    1    2    1  4.725346 0.786488 SUCCESS  26
000111011    1    1    3    5    2    3    4    3  6.075785 0.638743 SUCCESS  27
000111101    1    2    2    5    2    4    3    0  7.581789 0.475349 SUCCESS  28
000111111    3    2    2    3    1    3    2    3  1.650450 0.989919 SUCCESS  29
001000011    2    5    0    3    2    3    2    3  5.950009 0.652832 SUCCESS  30
001000101    1    2    5    5    1    0    2    3 10.123792 0.256445 SUCCESS  31
001000111    1    1    0    5    0    3    3    4 10.845349 0.210617 SUCCESS  32
001001011    1    2    3    3    3    0    1    1  5.572680 0.694975 SUCCESS  33
001001101    2    3    4    2    0    4    2    2  5.039787 0.753315 SUCCESS  34
001001111    2    0    3    2    2    6    3    3  8.554899 0.381222 SUCCESS  35
001010011    2    3    2    1    5    1    7    4 14.737791 0.064449 SUCCESS  36
001010101    2    3    2    3    4    3    2    3  1.839114 0.985553 SUCCESS  37
001010111    3    2    2    2    2    2    3    6  6.075785 0.638743 SUCCESS  38
001011011    0    1    2    4    1    4    4    1  8.303347 0.404413 SUCCESS  39
001011101    6    2    0    1    2    1    2    5 12.665794 0.123878 SUCCESS  40
001011111    6    2    2    1    1    0    1    1 11.504019 0.174743 SUCCESS  41
001100101    1    3    1    5    3    2    3    4  6.075785 0.638743 SUCCESS  42
001100111    5    2    2    1    3    2    0    1  7.393125 0.494871 SUCCESS  43
001101011    3    0    2    0    3    3    1    2  6.420015 0.600293 SUCCESS  44
001101101    7    3    2    1    0    1    3    1 14.297574 0.074331 SUCCESS  45
001101111    1    2    2    2    3    4    2    4  3.408006 0.906211 SUCCESS  46
001110101    2    1    3    1    2    3    1    0  5.509792 0.701955 SUCCESS  47
001110111    0    0    2    0    2    3    5    2 10.656685 0.221921 SUCCESS  48
